firstDose,firstDosePop,twoDoses,TwoDosesPop,boosterDose,boosterDosePop,dateUpdated,totalDayVax
3330570,0.8492,3211654,0.8189,324929,0.0761,24/12/2021,0
3330945,0.8493,3212103,0.8190,331619,0.0776,25/12/2021,7514
3331438,0.8494,3212809,0.8192,346669,0.0812,26/12/2021,16249
3333850,0.8500,3216009,0.8200,380911,0.0892,27/12/2021,39854
3335120,0.8504,3217630,0.8204,403349,0.0944,28/12/2021,25329
3336216,0.8506,3219101,0.8208,426403,0.0998,29/12/2021,25621
3337510,0.8510,3220240,0.8211,451179,0.1056,30/12/2021,27209
3337653,0.8510,3220390,0.8211,452513,0.1060,31/12/2021,1627
3337788,0.8510,3220538,0.8211,452606,0.1060,1/1/2022,376
3338275,0.8512,3221087,0.8213,464441,0.1087,2/1/2022,12871
3339639,0.8515,3222870,0.8217,475259,0.1113,3/1/2022,13965
3341309,0.8519,3224987,0.8223,496115,0.1162,4/1/2022,24643
3342161,0.8522,3226117,0.8226,506523,0.1186,5/1/2022,12390
3343490,0.8525,3227583,0.8229,522716,0.1224,6/1/2022,18988
